PrimaryKey;Indikator;Satuan;Kategori;Pengertian;Interpretasi;Fenomena Terakhir;Sumber;SearchIndex;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;
Persentase Penduduk 5 tahun ke Atas yang Pernah Menggunakan Internet dalam 3 Bulan Terakhir;%Pengguna Internet;persen;Sosial YTDL;Persentase individu yang mengakses segala kegiatan yang berhubungan dengan penggunaan internet dalam 3 Bulan Terakhir.;Persentase Individu dalam penggunaan internet dalam 3 Bulan Terakhir; ;Publikasi Indikator Kesejahteraan Rakyat 2018 - 2022;Persentase Penduduk 5 tahun ke Atas yang Pernah Menggunakan Internet dalam 3 Bulan Terakhir Sosial YTDL;;;;;;;;;32,29;43,69;67,01;57,02;63,36;66,99;;;;;;;
PDRB Pertanian, Kehutanan, dan Perikanan ADHB;Sektor A ADHB;miliar rupiah;LU ADHB;Nilai tambah bruto atas barang dan jasa yang diproduksi di suatu wilayah kabupaten/kota berdasar lapangan usaha, di mana barang dan jasa dihitung menggunakan harga yang berlaku pada waktu itu.;; ;Tabel Dinamis BPS Wonogiri;PDRB Pertanian, Kehutanan, dan Perikanan ADHB LU ADHB;4.914,29;5.249,76;5.783,28;6.320,64;6.732,28;7.259,77;7.655,65;7.900,55;8.196,26;8.299,46;8.785,09;8.986,19;9.806,93;10.401,87;;;;;;;
PDRB Pertambangan dan Penggalian ADHB;Sektor B ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pertambangan dan Penggalian ADHB LU ADHB;430,56;464,84;498,62;551,52;637,91;734,02;796,42;829,06;897,24;913,74;913,09;960,65;941,98;1.010,09;;;;;;;
PDRB Industri Pengolahan ADHB;Sektor C ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Industri Pengolahan ADHB LU ADHB;1.813,03;2.104,38;2.326,86;2.539,16;2.992,86;3.341,91;3.733,79;4.089,77;4.498,23;4.894,70;5.118,93;5.545,60;6.091,58;6.876,49;;;;;;;
PDRB Pengadaan Listrik dan Gas ADHB;Sektor D ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengadaan Listrik dan Gas ADHB LU ADHB;9,29;10,22;10,98;11,36;12,07;13,35;15,27;17,65;19,06;19,96;20,99;21,82;22,46;23,92;;;;;;;
PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang ADHB;Sektor E ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang ADHB LU ADHB;11,03;11,38;11,77;12,08;13,31;14,23;14,85;16,03;16,90;18,09;18,77;19,96;19,76;21,48;;;;;;;
PDRB Konstruksi ADHB;Sektor F ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Konstruksi ADHB LU ADHB;824,22;881,60;1.002,30;1.100,42;1.258,56;1.406,89;1.522,22;1.723,38;1.961,28;2.208,36;2.154,73;2.344,74;2.484,64;2.760,74;;;;;;;
"PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor ADHB";Sektor G ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;"PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor ADHB LU ADHB";2.273,10;2.445,11;2.618,00;2.849,14;3.107,74;3.369,89;3.630,47;3.931,03;4.318,62;4.754,49;4.719,22;5.011,71;5.441,72;5.880,61;;;;;;;
PDRB Transportasi dan Pergudangan ADHB;Sektor H ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Transportasi dan Pergudangan ADHB LU ADHB;793,00;824,39;884,50;968,26;1.148,08;1.290,69;1.375,48;1.535,33;1.705,89;1.911,93;1.307,55;1.414,62;2.249,64;2.667,39;;;;;;;
PDRB Penyediaan Akomodasi dan Makan Minum ADHB;Sektor I ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Penyediaan Akomodasi dan Makan Minum ADHB LU ADHB;328,74;347,87;366,93;400,88;445,56;493,98;545,55;591,55;635,60;702,39;696,70;732,19;834,25;975,84;;;;;;;
PDRB Informasi dan Komunikasi ADHB;Sektor J ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Informasi dan Komunikasi ADHB LU ADHB;103,43;114,91;122,93;129,79;146,79;157,86;171,75;210,20;240,31;272,10;321,48;350,82;360,32;403,62;;;;;;;
PDRB Jasa Keuangan dan Asuransi ADHB;Sektor K ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Keuangan dan Asuransi ADHB LU ADHB;363,37;406,50;470,19;520,23;584,85;650,71;736,99;803,79;879,16;936,21;942,85;988,08;1.057,95;1.112,78;;;;;;;
PDRB Real Estat ADHB;Sektor L ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Real Estat ADHB LU ADHB;102,83;111,12;114,57;125,78;143,59;160,54;173,75;189,53;202,68;213,99;215,67;223,51;231,05;247,03;;;;;;;
PDRB Jasa Perusahaan ADHB;Sektor M-N ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Perusahaan ADHB LU ADHB;40,94;48,45;52,86;62,75;72,28;82,45;94,66;107,12;118,34;132,79;130,47;138,34;152,27;170,53;;;;;;;
PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib ADHB;Sektor O ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib ADHB LU ADHB;436,79;447,00;496,95;542,30;598,75;660,47;709,59;764,57;795,44;841,52;841,23;828,90;859,46;910,44;;;;;;;
PDRB Jasa Pendidikan ADHB;Sektor P ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Pendidikan ADHB LU ADHB;519,23;663,11;866,87;1.053,51;1.241,63;1.354,56;1.506,45;1.674,69;1.857,75;2.053,53;2.069,72;2.075,96;2.118,03;2.338,05;;;;;;;
PDRB Jasa Kesehatan dan Kegiatan Sosial ADHB;Sektor Q ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Kesehatan dan Kegiatan Sosial ADHB LU ADHB;99,14;114,79;135,17;156,45;183,68;206,96;229,05;254,95;282,52;311,93;350,59;364,48;384,15;420,91;;;;;;;
PDRB Jasa lainnya ADHB;Sektor R-U ADHB;miliar rupiah;LU ADHB;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa lainnya ADHB LU ADHB;247,58;261,05;261,28;296,72;348,31;374,19;417,45;465,12;511,34;559,72;559,44;573,87;636,01;720,86;;;;;;;
PDRB Pertanian, Kehutanan, dan Perikanan ADHK;Sektor A ADHK;miliar rupiah;LU ADHK;Nilai tambah bruto barang dan jasa yang diproduksi di suatu wilayah kabupaten/kota berdasar lapangan usaha, di mana barang dan jasa dihitung pada harga tahun dasar. Saat ini, penghitungan PDRB atas dasar harga konstan menggunakan harga tahun 2010 sebagai tahun dasar.;; ;Tabel Dinamis BPS Wonogiri;PDRB Pertanian, Kehutanan, dan Perikanan ADHK LU ADHK;4.914,29;4.947,09;5.172,91;5.226,84;5.272,76;5.477,07;5.654,17;5.752,96;5.798,52;5.777,87;6.026,73;6.163,67;6.393,15;6.375,72;;;;;;;
PDRB Pertambangan dan Penggalian ADHK;Sektor B ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pertambangan dan Penggalian ADHK LU ADHK;430,56;447,74;477,07;520,61;539,25;546,74;555,17;563,06;579,22;584,43;571,62;595,81;567,14;592,53;;;;;;;
PDRB Industri Pengolahan ADHK;Sektor C ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Industri Pengolahan ADHK LU ADHK;1.813,03;1.929,65;2.060,56;2.236,34;2.417,15;2.566,20;2.740,71;2.933,00;3.142,07;3.356,31;3.431,10;3.596,90;3.748,74;4.028,28;;;;;;;
PDRB Pengadaan Listrik dan Gas ADHK;Sektor D ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengadaan Listrik dan Gas ADHK LU ADHK;9,29;10,13;11,19;12,23;12,96;13,58;14,75;15,68;16,39;17,12;18,02;18,76;19,20;20,13;;;;;;;
PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang ADHK;Sektor E ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang ADHK LU ADHK;11,03;11,33;11,75;11,63;12,51;12,78;13,03;13,92;14,53;15,42;15,92;16,74;16,55;17,50;;;;;;;
PDRB Konstruksi ADHK;Sektor F ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Konstruksi ADHK LU ADHK;824,22;850,53;929,19;982,38;1.032,98;1.106,68;1.184,08;1.301,43;1.414,28;1.528,74;1.486,30;1.566,12;1.551,52;1.668,36;;;;;;;
"PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor ADHK";Sektor G ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;"PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor ADHK LU ADHK";2.273,10;2.366,38;2.479,22;2.601,48;2.759,20;2.906,58;3.064,12;3.227,90;3.465,11;3.728,29;3.668,91;3.839,21;3.967,66;4.143,36;;;;;;;
PDRB Transportasi dan Pergudangan ADHK;Sektor H ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Transportasi dan Pergudangan ADHK LU ADHK;793,00;823,88;882,10;956,59;1.060,92;1.146,26;1.214,44;1.332,01;1.466,96;1.622,12;1.070,73;1.125,09;1.694,09;1.878,85;;;;;;;
PDRB Penyediaan Akomodasi dan Makan Minum ADHK;Sektor I ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Penyediaan Akomodasi dan Makan Minum ADHK LU ADHK;328,74;339,43;355,07;369,27;387,74;409,65;439,43;467,93;496,37;539,81;527,47;542,65;608,35;703,19;;;;;;;
PDRB Informasi dan Komunikasi ADHK;Sektor J ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Informasi dan Komunikasi ADHK LU ADHK;103,43;113,68;125,38;137,58;161,93;177,16;192,51;227,67;260,66;291,87;343,31;373,41;382,60;427,52;;;;;;;
PDRB Jasa Keuangan dan Asuransi ADHK;Sektor K ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Keuangan dan Asuransi ADHK LU ADHK;363,37;388,31;413,91;431,37;461,30;491,06;539,51;567,92;599,01;628,26;637,21;648,45;658,21;674,60;;;;;;;
PDRB Real Estat ADHK;Sektor L ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Real Estat ADHK LU ADHK;102,83;109,60;112,41;121,22;131,46;142,02;151,67;161,51;168,45;174,18;173,85;178,12;182,07;192,43;;;;;;;
PDRB Jasa Perusahaan ADHK;Sektor M-N ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Perusahaan ADHK LU ADHK;40,94;46,10;48,61;54,20;60,54;65,74;72,40;78,72;83,72;91,79;88,10;92,11;96,96;105,19;;;;;;;
PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib ADHK;Sektor O ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib ADHK LU ADHK;436,79;441,17;441,79;452,59;467,19;495,64;508,61;523,07;536,82;560,62;554,35;549,13;559,78;583,65;;;;;;;
PDRB Jasa Pendidikan ADHK;Sektor P ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Pendidikan ADHK LU ADHK;519,23;598,20;712,60;782,75;880,28;946,74;1.018,20;1.105,37;1.199,30;1.293,41;1.291,61;1.274,11;1.291,52;1.387,63;;;;;;;
PDRB Jasa Kesehatan dan Kegiatan Sosial ADHK;Sektor Q ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa Kesehatan dan Kegiatan Sosial ADHK LU ADHK;99,14;108,35;118,29;127,65;143,65;154,89;166,84;182,94;199,22;216,17;234,17;241,13;249,79;265,24;;;;;;;
PDRB Jasa lainnya ADHK;Sektor R-U ADHK;miliar rupiah;LU ADHK;;; ;Tabel Dinamis BPS Wonogiri;PDRB Jasa lainnya ADHK LU ADHK;247,58;255,16;253,03;278,55;305,98;318,42;339,52;363,87;396,43;429,79;423,76;429,75;461,31;502,69;;;;;;;
Laju Pertumbuhan PDRB Pertanian, Kehutanan, dan Perikanan;LP Sektor A;persen;LU LP;Suatu indikator ekonomi makro yang digunakan untuk melihat perubahan produktivitas berdasarkan pada perkembangan volume produksi barang ataupun jasa berdasar lapangan usaha. Pengukurannya menggunakan data Produk Domestik Regional Bruto (PDRB) atas dasar harga konstan.;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pertanian, Kehutanan, dan Perikanan LU LP;4,20;0,67;4,56;1,04;0,88;3,87;3,23;1,75;0,79;-0,36;4,31;2,27;3,72;-0,27;;;;;;;
Laju Pertumbuhan PDRB Pertambangan dan Penggalian;LP Sektor B;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pertambangan dan Penggalian LU LP;5,26;3,99;6,55;9,13;3,58;1,39;1,54;1,42;2,87;0,90;-2,19;4,23;-4,81;4,48;;;;;;;
Laju Pertumbuhan PDRB Industri Pengolahan;LP Sektor C;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Industri Pengolahan LU LP;7,81;6,43;6,78;8,53;8,08;6,17;6,80;7,02;7,13;6,82;2,23;4,83;4,22;7,46;;;;;;;
Laju Pertumbuhan PDRB Pengadaan Listrik dan Gas;LP Sektor D;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pengadaan Listrik dan Gas LU LP;7,04;9,02;10,45;9,32;5,91;4,81;8,60;6,29;4,55;4,45;5,25;4,11;2,34;4,84;;;;;;;
Laju Pertumbuhan PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;LP Sektor E;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang LU LP;0,83;2,63;3,77;-1,06;7,56;2,18;1,94;6,83;4,36;6,15;3,23;5,19;-1,12;5,71;;;;;;;
Laju Pertumbuhan PDRB Konstruksi;LP Sektor F;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Konstruksi LU LP;8,63;3,19;9,25;5,72;5,15;7,13;6,99;9,91;8,67;8,09;-2,78;5,37;-0,93;7,53;;;;;;;
"Laju Pertumbuhan PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";LP Sektor G;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;"Laju Pertumbuhan PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor LU LP";8,78;4,10;4,77;4,93;6,06;5,34;5,42;5,35;7,35;7,60;-1,59;4,64;3,35;4,43;;;;;;;
Laju Pertumbuhan PDRB Transportasi dan Pergudangan;LP Sektor H;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Transportasi dan Pergudangan LU LP;2,54;3,89;7,07;8,44;10,91;8,04;5,95;9,68;10,13;10,58;-33,99;5,08;50,57;10,91;;;;;;;
Laju Pertumbuhan PDRB Penyediaan Akomodasi dan Makan Minum;LP Sektor I;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Penyediaan Akomodasi dan Makan Minum LU LP;1,63;3,25;4,61;4,00;5,00;5,65;7,27;6,49;6,08;8,75;-2,29;2,88;12,11;15,59;;;;;;;
Laju Pertumbuhan PDRB Informasi dan Komunikasi;LP Sektor J;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Informasi dan Komunikasi LU LP;4,19;9,91;10,29;9,73;17,69;9,41;8,67;18,26;14,49;11,97;17,63;8,77;2,46;11,74;;;;;;;
Laju Pertumbuhan PDRB Jasa Keuangan dan Asuransi;LP Sektor K;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Jasa Keuangan dan Asuransi LU LP;5,58;6,86;6,60;4,22;6,94;6,45;9,87;5,27;5,47;4,88;1,42;1,76;1,51;2,49;;;;;;;
Laju Pertumbuhan PDRB Real Estat;LP Sektor L;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Real Estat LU LP;0,67;6,58;2,56;7,84;8,45;8,03;6,80;6,49;4,29;3,40;-0,19;2,46;2,22;5,69;;;;;;;
Laju Pertumbuhan PDRB Jasa Perusahaan;LP Sektor M-N;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Jasa Perusahaan LU LP;11,04;12,59;5,46;11,50;11,70;8,58;10,13;8,73;6,35;9,64;-4,02;4,55;5,27;8,49;;;;;;;
Laju Pertumbuhan PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;LP Sektor O;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib LU LP;8,86;1,00;0,14;2,44;3,23;6,09;2,62;2,84;2,63;4,44;-1,12;-0,94;1,94;4,26;;;;;;;
Laju Pertumbuhan PDRB Jasa Pendidikan;LP Sektor P;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Jasa Pendidikan LU LP;2,58;15,21;19,13;9,84;12,46;7,55;7,55;8,56;8,50;7,85;-0,14;-1,35;1,37;7,44;;;;;;;
Laju Pertumbuhan PDRB Jasa Kesehatan dan Kegiatan Sosial;LP Sektor Q;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Jasa Kesehatan dan Kegiatan Sosial LU LP;2,58;9,29;9,18;7,91;12,54;7,82;7,72;9,65;8,90;8,51;8,33;2,97;3,59;6,18;;;;;;;
Laju Pertumbuhan PDRB Jasa lainnya;LP Sektor R-U;persen;LU LP;;Pertumbuhan yang positif menunjukkan adanya kenaikan produksi barang dan jasa akhir pada sektor ini, Sebaliknya, pertumbuhan negatif menunjukkan kontraksi/penurunan produksi. Pertumbuhan melambat diartikan jika pertumbuhan periode t lebih kecil dari pertumbuhan periode t-1; ;Tabel Dinamis BPS Wonogiri;Laju Pertumbuhan PDRB Jasa lainnya LU LP;3,82;3,06;-0,83;10,09;9,85;4,06;6,63;7,17;8,95;8,41;-1,40;1,41;7,34;8,97;;;;;;;
Distribusi PDRB Pertanian, Kehutanan, dan Perikanan;%Sektor A;persen;LU Dist;Sumbangan dari setiap satuan unit pengamatan lapangan usahan dalam PDRB sektoral terhadap total agregat PDRB yang dinyatakan dalam persentase.;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Pertanian, Kehutanan, dan Perikanan LU Dist;36,92;36,19;36,09;35,83;34,23;33,63;32,82;31,47;30,20;28,57;30,12;29,38;29,11;28,16;;;;;;;
Distribusi PDRB Pertambangan dan Penggalian;%Sektor B;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Pertambangan dan Penggalian LU Dist;3,23;3,20;3,11;3,13;3,24;3,44;3,41;3,30;3,31;3,15;3,13;3,14;2,80;2,73;;;;;;;
Distribusi PDRB Industri Pengolahan;%Sektor C;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Industri Pengolahan LU Dist;13,62;14,51;14,52;14,39;15,22;15,50;16,00;16,29;16,58;16,85;17,55;18,13;18,08;18,61;;;;;;;
Distribusi PDRB Pengadaan Listrik dan Gas;%Sektor D;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Pengadaan Listrik dan Gas LU Dist;0,07;0,07;0,07;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,06;;;;;;;
Distribusi PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;%Sektor E;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang LU Dist;0,08;0,08;0,07;0,07;0,07;0,07;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,06;;;;;;;
Distribusi PDRB Konstruksi;%Sektor F;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;Distribusi PDRB Konstruksi LU Dist;6,19;6,08;6,25;6,24;6,40;6,52;6,52;6,86;7,23;7,60;7,39;7,67;7,37;7,47;;;;;;;
"Distribusi PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";%Sektor G;persen;LU Dist;;Besarnya sumber pertumbuhan PDB dari sektor perdagangan, hotel dan restoran pada tahun 2008 sebesar 1,2 persen, yang artinya sektor perdagangan, hotel dan restoran memberikan kontribusi sebesar 1,2 persen terhadap nilai PDB pada tahun 2008.; ;Tabel Dinamis BPS Wonogiri;"Distribusi PDRB Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor LU Dist";17,08;16,86;16,34;16,15;15,80;15,61;15,56;15,66;15,91;16,37;16,18;16,39;16,15;15,92;;;;;;;
